"source","target"
134173,1451598
135739,1451598
135543,83791
135543,829426
133818,403903
133818,756057
133818,1644932
133818,2290863
133818,11195296
134664,5203
138380,131550
137134,234670
137134,1451598
143334,131550
142330,234670
143334,248515
142330,1451598
143926,1451598
146907,1451598
148163,22947
148163,27538
148163,156116
148163,179647
148163,179648
148163,179649
148163,377559
148163,520635
148163,2793942
148682,131550
148948,1451598
155138,131550
155475,131550
155513,131550
155403,94363
155510,234670
155140,1451598
155437,1451598
155510,1451598
155138,83791
155498,83791
153182,829426
156116,148163
157243,564450
157243,3426431
159255,94363
160243,94363
160336,2337662
161506,1451598
163663,1451598
165038,94363
166985,94363
166009,83791
167577,83791
168661,218
168661,1954
168661,18460
168661,19076
168661,21345
168661,22947
168661,92571
168661,95914
168661,102663
168661,109752
168661,124467
168661,257433
168661,257437
168661,376498
168661,403109
168661,408396
168661,829426
168661,1927487
168661,257433
168661,829426
169418,6038
169418,6321
169418,8612
169418,9236
169418,9452
169418,10005
169418,13256
169418,13511
169418,15341
169418,19317
169418,20352
169418,23149
169418,26158
169418,26422
169418,28309
169418,30877
169418,30937
169418,35087
169418,44646
169418,44896
169418,60812
169418,62077
169418,64012
169418,94590
169418,95914
169418,123941
169418,166971
169418,248506
169418,309807
169418,316793
169418,327597
169418,397981
169418,511477
169418,769276
169418,2398955
169418,6992417
169418,31314000
170414,94363
171478,1451598
170934,2228965
173641,1451598
173821,1451598
173970,83791
175863,131550
176060,131550
175590,94363
175863,1570
175863,9236
175863,10005
175863,13256
175863,83715
175863,100942
175863,131550
175863,214209
175863,258293
175863,331054
175863,905238
175863,1577040
175863,2024123
175863,3044668
175863,5528110
176060,366549
179988,234670
179989,83791
179648,148163
179649,148163
180006,4966088
182509,94363
184154,4594
184154,5203
184154,23255
184154,32161
184154,37604
184154,45461
184154,78088
184154,102979
184154,142552
184154,248506
184154,258293
184154,431515
184154,615306
184154,705500
184154,885507
184154,1000473
184154,1079777
184154,1371144
184154,1880689
183250,131550
184989,1451598
185034,1451598
183250,83791
184154,32161
186077,1451598
191181,94363
190727,234670
188120,83791
191454,94363
191455,94363
191381,248515
191381,83791
191381,829426
197782,94363
198533,94363
197966,234670
197966,1451598
200475,1451598
198849,583987
201214,94363
201437,94363
201929,94363
205479,94363
206154,94363
207041,131550
206801,1451598
208598,1952330
208598,2572921
209312,234670
209312,1451598
209955,1451598
213416,94363
214073,83791
211630,5308
211630,11961
211630,32820
211630,124620
211630,229834
211630,332799
211630,421567
211630,479259
211630,985356
211630,1535371
211630,2544649
211630,3517403
221951,94363
221809,1451598
218398,175863
221951,4966088
227377,94363
228973,94363
231313,1451598
230730,120062
234670,8823
234670,19061
234670,49923
234670,52739
234670,92228
234670,99563
234670,108735
234670,108748
234670,137134
234670,209312
234670,248515
234670,249332
234670,249335
234670,249336
234670,258674
234670,837958
234670,1451598
234670,1644932
234670,1880689
234670,2062759
234670,2121380
234670,2337662
234670,2726603
234670,2851730
234670,4966088
234670,6091707
234670,8402204
234670,248515
234613,1451598
234670,1451598
234688,1451598
236241,1903
236241,15700
236241,132884
236241,167573
236241,2818557
234670,2121380
234670,2337662
234670,4966088
242259,1451598
246844,1451598
247463,131550
248514,131550
248515,131550
251627,131550
249097,94363
248515,234670
249320,234670
249332,234670
249335,234670
248506,248515
248515,376
248515,1934
248515,3383
248515,5203
248515,5823
248515,6038
248515,9577
248515,12117
248515,12930
248515,15462
248515,22947
248515,28538
248515,30887
248515,33325
248515,38698
248515,43216
248515,68825
248515,80412
248515,81116
248515,83715
248515,85663
248515,91225
248515,94081
248515,95914
248515,97076
248515,131550
248515,134464
248515,134594
248515,137069
248515,143334
248515,152052
248515,154562
248515,160243
248515,186598
248515,188965
248515,191381
248515,234573
248515,234670
248515,240746
248515,247463
248515,248506
248515,248514
248515,248567
248515,262417
248515,273908
248515,290634
248515,337824
248515,343909
248515,385023
248515,403109
248515,476693
248515,489545
248515,560019
248515,578570
248515,593002
248515,681829
248515,727107
248515,812602
248515,1206681
248515,1217757
248515,1318052
248515,1451598
248515,1509343
248515,1644932
248515,1849191
248515,1943346
248515,2225120
