"source","target","weight"
1570,"scheme",27
1570,"shell",856
1570,"swift",27
1570,"tcl",27
1570,"tex",27
1570,"typescript",27
1570,"vala",27
1570,"verilog",27
1570,"vhdl",27
1570,"viml",4
1570,"visual basic",27
1570,"xquery",27
1736,"apacheconf",6
1736,"assembly",10
1736,"batchfile",6
1736,"c",25
1736,"c++",14
1736,"css",32
1736,"cucumber",6
1736,"gcc machine description",2
1736,"html",181
1736,"java",31
1736,"javascript",224
1736,"lua",6
1736,"makefile",18
1736,"perl",6
1736,"perl6",6
1736,"php",18
1736,"plpgsql",6
1736,"plsql",6
1736,"python",18
1736,"ruby",18
1736,"shell",20
1736,"sqlpl",6
1736,"xslt",6
1779,"actionscript",38
1779,"apacheconf",193
1779,"applescript",112
1779,"asp",2
1779,"assembly",4
1779,"awk",4
1779,"batchfile",556
1779,"c",219
1779,"c#",5
1779,"c++",297
1779,"coffeescript",476
1779,"css",5252
1779,"cucumber",3
1779,"d",62
1779,"dtrace",62
1779,"e",3
1779,"emacs lisp",20
1779,"erlang",4
1779,"gcc machine description",25
1779,"gdb",10
1779,"groff",74
1779,"handlebars",91
1779,"html",5381
1779,"idl",7
1779,"java",334
1779,"javascript",6335
1779,"liquid",70
1779,"makefile",672
1779,"objective-c",14
1779,"objective-c++",4
1779,"perl",30
1779,"php",702
1779,"postscript",2
1779,"pov-ray sdl",36
1779,"powershell",20
1779,"prolog",4
1779,"protocol buffer",8
1779,"python",991
1779,"r",170
1779,"ragel in ruby host",2
1779,"ruby",1098
1779,"shell",2525
1779,"smarty",70
1779,"sqlpl",4
1779,"typescript",32
1779,"viml",126
1779,"xslt",17
1779,"yacc",9
1880,"abap",34
1880,"actionscript",34
1880,"ada",34
1880,"antlr",444
1880,"arduino",996
1880,"assembly",34
1880,"autohotkey",34
1880,"batchfile",478
1880,"c",598
1880,"c#",34
1880,"c++",164
1880,"cirru",34
1880,"clojure",34
1880,"cobol",34
1880,"coffeescript",46
1880,"coldfusion",34
1880,"common lisp",34
1880,"css",3773
1880,"cucumber",34
1880,"d",34
1880,"dart",34
1880,"eiffel",34
1880,"elixir",34
1880,"elm",34
1880,"erlang",34
1880,"forth",34
1880,"freemarker",34
1880,"gap",460
